username,created_at,lng,lat,text,,,,
sergio2smoove, Tue Jan 26 22:18:32 +0000 2021,-90.581249,38.651687, If we unveil the refresh Model S &amp; X tomorrow, that stock is gonna do a fuckin backflip. ,,,
KrimpElectric, Tue Jan 26 22:19:37 +0000 2021,-113.97494,50.72591, New #Tesla #charger ready and energized!#krimpelectric #okotoks #okotoksbusiness #evcharger #evcharging… https://t.co/J5soMUdRQv ,,,,
BashsharOsman, Tue Jan 26 22:21:07 +0000 2021,-76.826504,38.907379, Black or white owner they still gonna exploit hundreds of workers lol ,,,,
laurentayoun, Tue Jan 26 22:21:15 +0000 2021,2.347003,48.858834, @TeslaOwls 2004 tesla motors founded ,,,,
MusaabBalchi, Tue Jan 26 22:23:04 +0000 2021,-77.014398,38.898603, After Iphone12 and the latest Samsung phones, Tesla car in Damascus, despite US sanctions https://t.co/TwdpOI6IKj ,,
TacosandTeslas, Tue Jan 26 22:23:33 +0000 2021,-122.228685,37.791994, @brookec_4 @Tesla 😉😉😉 ,,,,
Dorn27925181, Tue Jan 26 22:23:53 +0000 2021,-80.649699,28.117874, @ajtourville @Tesla My next car will be a Tesla Model 3 FSD! https://t.co/8n3fjRJ4Ti ,,,,
Will_Napthen21, Tue Jan 26 22:25:24 +0000 2021,-83.369718,42.311306, @elonmusk please tweet about AMC I’m trying to get a tesla ,,,,
HalimaPeaceLove, Tue Jan 26 22:26:36 +0000 2021,-79.27257,43.629311, @black_franchise So many people with Tesla’s earning $32 000 a year 🥴 ,,,,
html5cat, Tue Jan 26 22:26:46 +0000 2021,-122.435979,37.770657, @taratan It’s been a while since folks tried to short Tesla too it seems 😆 ,,,,
lasilverii, Tue Jan 26 22:26:58 +0000 2021,-62.2551,-38.72172, Pasó Tesla y dijo que GameStop se fue a la mierda #gme ,,,,
Kunal04_, Tue Jan 26 22:30:18 +0000 2021,-106.632718,35.117002," ""Who needs Tesla &amp; EV when you have GME in your portfolio "" -random dude on Twitter. Bruh you got lucky 😂 ",,,,
TeslaOwnersBC, Tue Jan 26 22:30:37 +0000 2021,-122.818486,49.111519, Good times! 😄 ,,,,
TeslaGong, Tue Jan 26 22:31:35 +0000 2021,150.858905,-34.439971, Milestone indeed !!! Tune in today. Pre-earnings @Tesla call ?Loads more. ,,,,
DunDunItAll850, Tue Jan 26 22:32:48 +0000 2021,-84.266174,30.476216, #Wealth ,,,,
paola_rojas, Tue Jan 26 22:35:48 +0000 2021,150.931975,-33.848244, Go EU! ,,,,
boodahlok, Tue Jan 26 22:37:11 +0000 2021,-75.117998,40.004866, slime just popped a tesla they think her shooting cars ,,,,
StevenRivas, Tue Jan 26 22:38:03 +0000 2021,-97.754724,30.323346, Once again, now a local news story. $TSLA ,,,
stefanoa99, Tue Jan 26 22:38:25 +0000 2021,4.904053,52.354728, @Happy4Trigger @rovatz @kryptondaddy @occammamt @indiepatico @MeryPavoni @maritosenzacena Tra un paio d’anni, più f… https://t.co/0hacMtMNUV ,,,
adamcylee, Tue Jan 26 22:39:32 +0000 2021,103.78124,1.404303, 美國正上演的金融大戰，這隻股票成交200億美金，比Tesla還多，而且暴升近倍，有對沖基金做巨額空倉狂輸很可能倒閉。 https://t.co/yE3LZMwz2X ,,,,
dlcarpenter, Tue Jan 26 22:40:14 +0000 2021,-122.752921,38.508209, @dwatg What if Uber, Tesla, and Palantir are just as hollow? And another major place a ton of capital is stuck. ,,
